risk_name,measure_name
Desprendimiento de tierras,Redes eléctricas subterráneas y protegidas
Desprendimiento de tierras,Refuerzo estructural de elementos primarios y secundarios
Desprendimiento de tierras,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Erosión costera,Barreras anti-viento vegetales
Erosión costera,Contraventanas exteriores y refuerzos de carpinterías
Erosión costera,Disposición de juntas de dilatación o contracción
Erosión costera,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Erosión costera,Grupo electrógeno
Erosión costera,Redes eléctricas subterráneas y protegidas
Erosión costera,Refuerzo estructural de elementos primarios y secundarios
Erosión costera,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Estrés térmico,Actualización y mejora del sistema de climatización
Estrés térmico,Aislamiento térmico continuo y de espesor adecuado
Estrés térmico,Building Management System (BMS)
Estrés térmico,Cubierta vegetal (plana o inclinada)
Estrés térmico,Disposición de juntas de dilatación o contracción
Estrés térmico,Fachada vegetal
Estrés térmico,Mejora de la estanqueidad al agua líquida (impermeabilización)
Estrés térmico,Mejora de la hermeticidad al aire
Estrés térmico,Orientación y dimensionado de los huecos acristalados
Estrés térmico,Reflectividad de la envolvente
Estrés térmico,Ventilación mecánica controlada (VMC) con recuperador de calor
Estrés térmico,Xerojardinería: vegetación de bajos requerimientos hídricos
Estrés térmico,Zona ajardinada exterior/interior
Hundimiento,Barreras anti-viento vegetales
Hundimiento,Contraventanas exteriores y refuerzos de carpinterías
Hundimiento,Disposición de juntas de dilatación o contracción
Hundimiento,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Hundimiento,Grupo electrógeno
Hundimiento,Redes eléctricas subterráneas y protegidas
Hundimiento,Refuerzo estructural de elementos primarios y secundarios
Hundimiento,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Incendio forestal,Actualización y mejora del sistema de Protección contra incendios (PCI)
Incendio forestal,Contraventanas exteriores y refuerzos de carpinterías
Incendio forestal,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Incendio forestal,Grupo electrógeno
Incendio forestal,Redes eléctricas subterráneas y protegidas
Incendio forestal,Revisión periódica de los sistemas de extinción de incendios
Incendio forestal,Sectorización de incendios
Inundación costera/fluvial/pluvial,Barreras de protección contra inundaciones: temporales o permanentes
Inundación costera/fluvial/pluvial,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Inundación costera/fluvial/pluvial,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Inundación costera/fluvial/pluvial,Contraventanas exteriores y refuerzos de carpinterías
Inundación costera/fluvial/pluvial,Deshumidificador
Inundación costera/fluvial/pluvial,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Inundación costera/fluvial/pluvial,Grupo electrógeno
Inundación costera/fluvial/pluvial,Jardín de lluvia
Inundación costera/fluvial/pluvial,Materiales de construcción resistentes al agua
Inundación costera/fluvial/pluvial,Mejora de la estanqueidad al agua líquida (impermeabilización)
Inundación costera/fluvial/pluvial,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Inundación costera/fluvial/pluvial,Redes eléctricas subterráneas y protegidas
Inundación costera/fluvial/pluvial,Refuerzo estructural de elementos primarios y secundarios
Inundación costera/fluvial/pluvial,Revisión periódica de los sistemas de evacuación de aguas pluviales
Inundación costera/fluvial/pluvial,Sistema de drenaje perimetral
Inundación costera/fluvial/pluvial,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Inundación costera/fluvial/pluvial,Zona ajardinada exterior/interior
Ola de calor,Actualización y mejora del sistema de climatización
Ola de calor,Aislamiento térmico continuo y de espesor adecuado
Ola de calor,Building Management System (BMS)
Ola de calor,Cubierta vegetal (plana o inclinada)
Ola de calor,Disposición de juntas de dilatación o contracción
Ola de calor,Fachada vegetal
Ola de calor,Mejora de la estanqueidad al agua líquida (impermeabilización)
Ola de calor,Mejora de la hermeticidad al aire
Ola de calor,Orientación y dimensionado de los huecos acristalados
Ola de calor,Reflectividad de la envolvente
Ola de calor,Ventilación mecánica controlada (VMC) con recuperador de calor
Ola de calor,Xerojardinería: vegetación de bajos requerimientos hídricos
Ola de calor,Zona ajardinada exterior/interior
Precipitaciones intensas/extremas,Barreras de protección contra inundaciones: temporales o permanentes
Precipitaciones intensas/extremas,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Precipitaciones intensas/extremas,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Precipitaciones intensas/extremas,Contraventanas exteriores y refuerzos de carpinterías
Precipitaciones intensas/extremas,Cubierta vegetal (plana o inclinada)
Precipitaciones intensas/extremas,Deshumidificador
Precipitaciones intensas/extremas,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Precipitaciones intensas/extremas,Jardín de lluvia
Precipitaciones intensas/extremas,Materiales de construcción resistentes al agua
Precipitaciones intensas/extremas,Mejora de la estanqueidad al agua líquida (impermeabilización)
Precipitaciones intensas/extremas,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Precipitaciones intensas/extremas,Redes eléctricas subterráneas y protegidas
Precipitaciones intensas/extremas,Refuerzo estructural de elementos primarios y secundarios
Precipitaciones intensas/extremas,Revisión periódica de los sistemas de evacuación de aguas pluviales
Precipitaciones intensas/extremas,Separación entre la fachada y el desagüe de pluviales
Precipitaciones intensas/extremas,Sistema de drenaje perimetral
Precipitaciones intensas/extremas,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Precipitaciones intensas/extremas,Zona ajardinada exterior/interior
Tormenta,Actualización y mejora del sistema de climatización
Tormenta,Barreras anti-viento vegetales
Tormenta,Contraventanas exteriores y refuerzos de carpinterías
Tormenta,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Tormenta,Grupo electrógeno
Tormenta,Mejora de la hermeticidad al aire
Tormenta,Redes eléctricas subterráneas y protegidas
Tormenta,Refuerzo estructural de elementos primarios y secundarios
Variabilidad de la temperatura,Actualización y mejora del sistema de climatización
Variabilidad de la temperatura,Aislamiento térmico continuo y de espesor adecuado
Variabilidad de la temperatura,Building Management System (BMS)
Variabilidad de la temperatura,Cubierta vegetal (plana o inclinada)
Variabilidad de la temperatura,Disposición de juntas de dilatación o contracción
Variabilidad de la temperatura,Fachada vegetal
Variabilidad de la temperatura,Mejora de la estanqueidad al agua líquida (impermeabilización)
Variabilidad de la temperatura,Mejora de la hermeticidad al aire
Variabilidad de la temperatura,Orientación y dimensionado de los huecos acristalados
Variabilidad de la temperatura,Reflectividad de la envolvente
Variabilidad de la temperatura,Ventilación mecánica controlada (VMC) con recuperador de calor
Variabilidad de la temperatura,Xerojardinería: vegetación de bajos requerimientos hídricos
Variabilidad de la temperatura,Zona ajardinada exterior/interior
Variablildad hidrológica o de las precipitaciones,Barreras de protección contra inundaciones: temporales o permanentes
Variablildad hidrológica o de las precipitaciones,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Variablildad hidrológica o de las precipitaciones,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Variablildad hidrológica o de las precipitaciones,Contraventanas exteriores y refuerzos de carpinterías
Variablildad hidrológica o de las precipitaciones,Cubierta vegetal (plana o inclinada)
Variablildad hidrológica o de las precipitaciones,Deshumidificador
Variablildad hidrológica o de las precipitaciones,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Variablildad hidrológica o de las precipitaciones,Jardín de lluvia
Variablildad hidrológica o de las precipitaciones,Materiales de construcción resistentes al agua
Variablildad hidrológica o de las precipitaciones,Mejora de la estanqueidad al agua líquida (impermeabilización)
Variablildad hidrológica o de las precipitaciones,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Variablildad hidrológica o de las precipitaciones,Redes eléctricas subterráneas y protegidas
Variablildad hidrológica o de las precipitaciones,Refuerzo estructural de elementos primarios y secundarios
Variablildad hidrológica o de las precipitaciones,Revisión periódica de los sistemas de evacuación de aguas pluviales
Variablildad hidrológica o de las precipitaciones,Separación entre la fachada y el desagüe de pluviales
Variablildad hidrológica o de las precipitaciones,Sistema de drenaje perimetral
Variablildad hidrológica o de las precipitaciones,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Variablildad hidrológica o de las precipitaciones,Zona ajardinada exterior/interior
